Symbol,Date,Open,High,Low,Close,Volume
ALLCARGO,2006-06-23 00:00:00+05:30,16.6,17.1,14.3,16.75,174356396
ALLCARGO,2006-06-26 00:00:00+05:30,16.9,17.15,14.45,15.1,39920476
ALLCARGO,2006-06-27 00:00:00+05:30,14.85,15.05,14.15,14.55,23914916
ALLCARGO,2006-06-28 00:00:00+05:30,14.05,15.7,14.0,15.3,38854996
ALLCARGO,2006-06-29 00:00:00+05:30,15.5,16.7,15.4,16.25,42613636
ALLCARGO,2006-06-30 00:00:00+05:30,16.5,17.2,16.25,16.45,32481836
ALLCARGO,2006-07-03 00:00:00+05:30,16.5,16.7,16.25,16.4,7198396
ALLCARGO,2006-07-04 00:00:00+05:30,16.5,16.6,16.25,16.35,2159036
ALLCARGO,2006-07-05 00:00:00+05:30,16.2,17.0,16.05,16.9,8076596
ALLCARGO,2006-07-06 00:00:00+05:30,16.7,17.5,16.35,16.55,23418796
ALLCARGO,2006-07-07 00:00:00+05:30,16.6,16.95,16.15,16.2,5454396
ALLCARGO,2006-07-10 00:00:00+05:30,15.9,16.6,15.9,16.35,2976356
ALLCARGO,2006-07-11 00:00:00+05:30,16.4,16.7,16.35,16.55,2418076
ALLCARGO,2006-07-12 00:00:00+05:30,16.25,16.7,15.75,16.4,849436
ALLCARGO,2006-07-13 00:00:00+05:30,16.25,16.7,16.25,16.35,1225596
ALLCARGO,2006-07-14 00:00:00+05:30,16.0,16.4,15.85,16.0,928036
ALLCARGO,2006-07-17 00:00:00+05:30,15.85,16.3,15.4,15.65,749396
ALLCARGO,2006-07-18 00:00:00+05:30,15.85,15.9,15.25,15.45,724076
ALLCARGO,2006-07-19 00:00:00+05:30,15.5,15.7,15.35,15.4,1448116
ALLCARGO,2006-07-20 00:00:00+05:30,15.7,15.7,15.0,15.15,1046596
ALLCARGO,2006-07-21 00:00:00+05:30,15.05,15.3,14.6,14.85,234396
ALLCARGO,2006-07-24 00:00:00+05:30,15.0,15.0,14.1,14.3,153316
ALLCARGO,2006-07-25 00:00:00+05:30,14.4,14.6,14.3,14.4,116076
ALLCARGO,2006-07-26 00:00:00+05:30,14.4,14.95,14.3,14.85,378516
ALLCARGO,2006-07-27 00:00:00+05:30,15.1,15.2,14.75,14.9,147316
ALLCARGO,2006-07-28 00:00:00+05:30,14.7,15.0,14.15,14.25,192556
ALLCARGO,2006-07-31 00:00:00+05:30,14.75,15.4,14.4,14.95,282116
ALLCARGO,2006-08-01 00:00:00+05:30,14.75,14.9,14.65,14.8,70556
ALLCARGO,2006-08-02 00:00:00+05:30,14.75,15.3,14.75,15.1,674996
ALLCARGO,2006-08-03 00:00:00+05:30,15.15,15.8,15.15,15.5,484716
ALLCARGO,2006-08-04 00:00:00+05:30,15.55,15.6,15.4,15.5,90596
ALLCARGO,2006-08-07 00:00:00+05:30,15.45,15.45,15.15,15.2,43436
ALLCARGO,2006-08-08 00:00:00+05:30,15.3,16.0,15.3,15.8,318516
ALLCARGO,2006-08-09 00:00:00+05:30,16.0,16.5,15.65,16.35,361676
ALLCARGO,2006-08-10 00:00:00+05:30,16.35,17.35,15.1,16.8,4058916
ALLCARGO,2006-08-11 00:00:00+05:30,17.2,17.2,16.15,16.35,480796
ALLCARGO,2006-08-14 00:00:00+05:30,16.6,16.6,16.1,16.35,149916
ALLCARGO,2006-08-16 00:00:00+05:30,16.5,16.6,16.15,16.35,118756
ALLCARGO,2006-08-17 00:00:00+05:30,16.5,16.5,15.9,15.95,47596
ALLCARGO,2006-08-18 00:00:00+05:30,16.35,16.9,15.75,16.3,470196
ALLCARGO,2006-08-21 00:00:00+05:30,15.2,16.5,15.2,16.45,375756
ALLCARGO,2006-08-22 00:00:00+05:30,16.4,16.5,16.25,16.25,190876
ALLCARGO,2006-08-23 00:00:00+05:30,16.1,17.2,16.1,16.45,2167556
ALLCARGO,2006-08-24 00:00:00+05:30,16.4,17.0,16.4,16.85,254676
ALLCARGO,2006-08-25 00:00:00+05:30,17.0,17.1,16.6,17.0,1123916
ALLCARGO,2006-08-28 00:00:00+05:30,16.25,17.25,15.8,16.95,687836
ALLCARGO,2006-08-29 00:00:00+05:30,16.8,17.0,16.8,16.95,297436
ALLCARGO,2006-08-30 00:00:00+05:30,16.4,17.0,16.4,17.0,191516
ALLCARGO,2006-08-31 00:00:00+05:30,16.7,17.0,16.7,16.95,215716
ALLCARGO,2006-09-01 00:00:00+05:30,16.7,16.95,16.7,16.85,293156
ALLCARGO,2006-09-04 00:00:00+05:30,16.75,17.2,16.75,16.9,370876
