Symbol,Date,Open,High,Low,Close,Volume
PRITIKAUTO,2021-08-10 00:00:00+05:30,19.7,19.7,17.65,18.15,301252
PRITIKAUTO,2021-08-11 00:00:00+05:30,18.5,19.0,16.85,17.9,138839
PRITIKAUTO,2021-08-12 00:00:00+05:30,18.25,18.6,18.0,18.2,62493
PRITIKAUTO,2021-08-13 00:00:00+05:30,18.45,18.5,17.15,17.75,85827
PRITIKAUTO,2021-08-16 00:00:00+05:30,18.5,20.0,17.1,18.5,578216
PRITIKAUTO,2021-08-17 00:00:00+05:30,19.3,19.3,18.4,18.65,88118
PRITIKAUTO,2021-08-18 00:00:00+05:30,19.0,19.05,18.2,18.55,63030
PRITIKAUTO,2021-08-20 00:00:00+05:30,18.15,18.85,17.3,17.95,122076
PRITIKAUTO,2021-08-23 00:00:00+05:30,18.0,18.3,17.0,17.1,82962
PRITIKAUTO,2021-08-24 00:00:00+05:30,17.6,17.8,16.15,16.6,258888
PRITIKAUTO,2021-08-25 00:00:00+05:30,17.7,17.75,17.05,17.6,130811
PRITIKAUTO,2021-08-26 00:00:00+05:30,17.1,17.7,17.05,17.25,43989
PRITIKAUTO,2021-08-27 00:00:00+05:30,17.3,17.7,16.8,17.1,58989
PRITIKAUTO,2021-08-30 00:00:00+05:30,17.3,20.5,13.75,20.05,3369693
PRITIKAUTO,2021-08-31 00:00:00+05:30,20.3,22.8,18.5,19.05,2040202
PRITIKAUTO,2021-09-01 00:00:00+05:30,19.35,20.8,19.1,19.3,578569
PRITIKAUTO,2021-09-02 00:00:00+05:30,19.55,19.8,18.9,19.25,425004
PRITIKAUTO,2021-09-03 00:00:00+05:30,19.65,19.65,18.3,18.75,350071
PRITIKAUTO,2021-09-06 00:00:00+05:30,19.0,19.2,18.35,18.55,348114
PRITIKAUTO,2021-09-07 00:00:00+05:30,18.6,18.9,18.0,18.5,167985
PRITIKAUTO,2021-09-08 00:00:00+05:30,18.8,18.85,18.0,18.2,210549
PRITIKAUTO,2021-09-09 00:00:00+05:30,18.75,18.75,18.0,18.2,111809
PRITIKAUTO,2021-09-13 00:00:00+05:30,18.5,18.6,18.15,18.3,67890
PRITIKAUTO,2021-09-14 00:00:00+05:30,18.45,18.7,18.1,18.15,127441
PRITIKAUTO,2021-09-15 00:00:00+05:30,18.5,18.5,16.7,17.6,490320
PRITIKAUTO,2021-09-16 00:00:00+05:30,17.5,17.8,17.1,17.3,231754
PRITIKAUTO,2021-09-17 00:00:00+05:30,17.2,17.6,16.55,17.2,193128
PRITIKAUTO,2021-09-20 00:00:00+05:30,17.5,17.5,16.95,16.95,77158
