Symbol,Date,Open,High,Low,Close,Volume
ESAFSFB,2023-11-10 00:00:00+05:30,71.0,74.8,68.55,69.05,68973900
ESAFSFB,2023-11-12 00:00:00+05:30,71.0,71.75,70.45,71.35,4691542
ESAFSFB,2023-11-13 00:00:00+05:30,71.5,72.15,70.55,71.75,7464529
ESAFSFB,2023-11-15 00:00:00+05:30,72.0,72.45,69.1,69.4,4886862
ESAFSFB,2023-11-16 00:00:00+05:30,69.5,70.5,69.0,69.35,2535167
ESAFSFB,2023-11-17 00:00:00+05:30,69.0,69.45,68.1,68.8,3967090
ESAFSFB,2023-11-20 00:00:00+05:30,70.7,71.65,69.3,69.75,6930010
ESAFSFB,2023-11-21 00:00:00+05:30,70.45,70.6,68.9,69.15,3308199
ESAFSFB,2023-11-22 00:00:00+05:30,68.85,69.1,67.5,68.2,2816907
ESAFSFB,2023-11-23 00:00:00+05:30,68.0,69.7,68.0,68.3,1528536
ESAFSFB,2023-11-24 00:00:00+05:30,68.5,69.0,68.0,68.15,825248
ESAFSFB,2023-11-28 00:00:00+05:30,68.25,69.1,68.05,69.0,2472702
ESAFSFB,2023-11-29 00:00:00+05:30,69.1,69.45,68.45,68.95,3059134
ESAFSFB,2023-11-30 00:00:00+05:30,68.95,69.25,68.25,68.7,2445071
ESAFSFB,2023-12-01 00:00:00+05:30,68.7,69.3,67.6,67.8,2120391
ESAFSFB,2023-12-04 00:00:00+05:30,68.45,69.5,67.7,68.8,2446943
ESAFSFB,2023-12-05 00:00:00+05:30,69.5,69.5,68.25,68.45,1416507
ESAFSFB,2023-12-06 00:00:00+05:30,68.8,69.2,68.0,68.45,1699181
ESAFSFB,2023-12-07 00:00:00+05:30,68.95,68.95,68.1,68.25,933326
ESAFSFB,2023-12-08 00:00:00+05:30,68.45,68.8,67.65,67.7,1850137
ESAFSFB,2023-12-11 00:00:00+05:30,67.95,68.0,66.05,66.65,2656124
ESAFSFB,2023-12-12 00:00:00+05:30,66.85,67.5,66.6,67.05,3410397
ESAFSFB,2023-12-13 00:00:00+05:30,67.4,67.6,66.7,66.85,1964348
ESAFSFB,2023-12-14 00:00:00+05:30,67.4,67.75,66.75,66.85,2480155
ESAFSFB,2023-12-15 00:00:00+05:30,67.4,71.85,67.05,70.5,9084073
ESAFSFB,2023-12-18 00:00:00+05:30,70.55,74.25,69.8,72.2,7998791
ESAFSFB,2023-12-19 00:00:00+05:30,72.9,75.4,72.45,73.85,11083362
ESAFSFB,2023-12-20 00:00:00+05:30,74.05,74.5,67.9,68.5,6122234
ESAFSFB,2023-12-21 00:00:00+05:30,67.5,69.95,67.5,69.6,3244112
ESAFSFB,2023-12-22 00:00:00+05:30,70.25,71.2,68.75,69.05,2003403
ESAFSFB,2023-12-26 00:00:00+05:30,69.9,70.2,69.05,69.65,929761
ESAFSFB,2023-12-27 00:00:00+05:30,69.7,71.65,68.0,69.65,3800842
ESAFSFB,2023-12-28 00:00:00+05:30,70.0,70.2,68.5,68.85,1060276
ESAFSFB,2023-12-29 00:00:00+05:30,69.3,69.75,68.4,68.7,1116464
ESAFSFB,2024-01-01 00:00:00+05:30,68.8,69.75,68.4,68.9,969466
ESAFSFB,2024-01-02 00:00:00+05:30,69.25,70.0,68.5,69.55,1639119
ESAFSFB,2024-01-03 00:00:00+05:30,69.75,71.7,68.9,70.4,1624139
ESAFSFB,2024-01-04 00:00:00+05:30,70.15,73.7,69.7,72.35,6916541
ESAFSFB,2024-01-05 00:00:00+05:30,71.15,73.4,69.65,70.55,5005428
ESAFSFB,2024-01-08 00:00:00+05:30,72.7,72.7,69.4,69.65,3118940
ESAFSFB,2024-01-09 00:00:00+05:30,70.15,70.5,69.3,69.8,1873293
ESAFSFB,2024-01-10 00:00:00+05:30,69.75,70.85,68.75,70.65,2148016
ESAFSFB,2024-01-11 00:00:00+05:30,70.9,73.2,70.65,71.75,4315406
ESAFSFB,2024-01-12 00:00:00+05:30,72.25,72.7,71.15,71.55,2077003
ESAFSFB,2024-01-15 00:00:00+05:30,71.9,73.95,70.7,71.55,3393815
ESAFSFB,2024-01-16 00:00:00+05:30,71.7,72.0,69.5,70.2,1648955
ESAFSFB,2024-01-17 00:00:00+05:30,70.0,71.8,69.35,69.9,1729192
ESAFSFB,2024-01-18 00:00:00+05:30,69.45,70.45,67.75,69.35,2035311
ESAFSFB,2024-01-19 00:00:00+05:30,70.0,72.75,69.65,71.05,1944288
ESAFSFB,2024-01-20 00:00:00+05:30,71.65,71.65,70.5,70.75,591427
ESAFSFB,2024-01-23 00:00:00+05:30,70.05,71.35,69.15,69.25,1201491
ESAFSFB,2024-01-24 00:00:00+05:30,69.35,69.9,68.4,69.05,1287414
ESAFSFB,2024-01-25 00:00:00+05:30,69.05,70.0,69.05,69.5,883764
ESAFSFB,2024-01-29 00:00:00+05:30,69.75,70.75,69.35,69.55,1042066
ESAFSFB,2024-01-30 00:00:00+05:30,69.4,70.0,69.05,69.15,700444
ESAFSFB,2024-01-31 00:00:00+05:30,69.25,69.6,68.9,69.25,1079246
ESAFSFB,2024-02-01 00:00:00+05:30,69.45,69.5,68.6,68.95,852796
ESAFSFB,2024-02-02 00:00:00+05:30,69.45,71.75,68.95,69.2,3183121
ESAFSFB,2024-02-05 00:00:00+05:30,69.95,70.3,68.85,69.45,1609616
ESAFSFB,2024-02-06 00:00:00+05:30,70.65,71.7,69.35,70.45,2297209
ESAFSFB,2024-02-07 00:00:00+05:30,71.05,81.2,70.1,78.65,24420142
ESAFSFB,2024-02-08 00:00:00+05:30,80.0,82.4,77.2,78.25,13155666
ESAFSFB,2024-02-09 00:00:00+05:30,78.0,78.0,63.25,65.45,22745300
ESAFSFB,2024-02-12 00:00:00+05:30,67.95,68.95,62.65,63.2,8321231
ESAFSFB,2024-02-13 00:00:00+05:30,64.75,64.9,62.0,64.25,3231239
ESAFSFB,2024-02-14 00:00:00+05:30,63.25,64.9,63.2,64.7,2080590
ESAFSFB,2024-02-15 00:00:00+05:30,65.2,66.15,64.95,65.4,1455485
ESAFSFB,2024-02-16 00:00:00+05:30,65.85,66.1,63.45,63.85,3031964
ESAFSFB,2024-02-19 00:00:00+05:30,64.4,65.35,64.3,64.85,1461687
ESAFSFB,2024-02-20 00:00:00+05:30,65.1,65.2,64.1,64.5,1043197
ESAFSFB,2024-02-21 00:00:00+05:30,65.0,65.3,64.2,64.5,1248762
ESAFSFB,2024-02-22 00:00:00+05:30,64.55,64.95,63.75,64.75,848188
ESAFSFB,2024-02-23 00:00:00+05:30,64.95,65.3,64.4,64.55,1124606
ESAFSFB,2024-02-26 00:00:00+05:30,64.6,64.85,63.55,63.8,1406229
ESAFSFB,2024-02-27 00:00:00+05:30,64.25,64.25,62.3,62.5,1280932
ESAFSFB,2024-02-28 00:00:00+05:30,63.0,63.75,61.55,62.2,1930550
ESAFSFB,2024-02-29 00:00:00+05:30,62.25,62.75,61.0,62.15,1102749
ESAFSFB,2024-03-01 00:00:00+05:30,62.05,63.1,62.0,62.15,800761
ESAFSFB,2024-03-02 00:00:00+05:30,62.65,63.0,62.0,62.75,174338
ESAFSFB,2024-03-04 00:00:00+05:30,63.5,63.5,61.5,61.65,1059133
ESAFSFB,2024-03-05 00:00:00+05:30,61.65,62.25,61.5,61.8,683677
ESAFSFB,2024-03-06 00:00:00+05:30,61.8,62.1,59.75,60.25,1605156
ESAFSFB,2024-03-07 00:00:00+05:30,60.45,60.8,60.0,60.2,707240
ESAFSFB,2024-03-11 00:00:00+05:30,61.65,61.65,59.0,59.5,1160312
ESAFSFB,2024-03-12 00:00:00+05:30,59.9,59.9,57.1,57.4,2049780
ESAFSFB,2024-03-13 00:00:00+05:30,57.55,58.05,55.5,55.95,2213702
ESAFSFB,2024-03-14 00:00:00+05:30,56.15,57.6,55.1,57.0,1348043
ESAFSFB,2024-03-15 00:00:00+05:30,57.55,57.9,56.2,57.4,770606
ESAFSFB,2024-03-18 00:00:00+05:30,57.5,58.1,56.9,57.3,801982
ESAFSFB,2024-03-19 00:00:00+05:30,57.3,58.3,57.15,57.6,965811
ESAFSFB,2024-03-20 00:00:00+05:30,57.9,58.05,57.5,57.5,820843
ESAFSFB,2024-03-21 00:00:00+05:30,58.0,58.0,56.95,57.1,973567
